dataset_name,detail_url,dataset_description,resource name,resource_type,resource_region,resource_desc,tag01,tag02,tag03,tag04,tag05,tag06,tag07,tag08,tag09,tag10,tag11,tag12,tag13,tag14,tag15,tag16,tag17,tag18,tag19,tag20
Gabriella Miller Kids First Pediatric Research Program (Kids First),https://registry.opendata.aws/kids-first/,"The NIH Common Fund's Gabriella Miller Kids First Pediatric Research Program’s (“Kids First”) vision is to “alleviate suffering from childhood cancer and structural birth defects by fostering collaborative research to uncover the etiology of these diseases and by supporting data sharing within the pediatric research community.” The program continues to generate and share whole genome sequence data from thousands of children affected by these conditions, ranging from rare pediatric cancers, such as osteosarcoma, to more prevalent diagnoses, such as congenital heart defects. In 2018, Kids First launched the Gabriella Miller Kids First Data Resource Center, charged with building a large-scale data platform supporting clinical and genetic data from these patients and their families in order to accelerate discovery and ultimately clinical impact. Researchers can search, access, aggregate, and analyze these data through the Kids First Data Resource Portal. Additionally, by using cloud-based individual workspaces in CAVATICA, a data analysis and sharing computation platform, researchers can cross-analyze Kids First data with data from other efforts, such as NCI’s TARGET program and consortia-based datasets like the Children’s Brain Tumor Tissue Consortium (CBTTC). Kids First is made available on AWS via the NIH STRIDES Initiative.",arn:aws:s3:::kf-study-us-east-1-prd-sd-r0eprsgs,S3 Bucket Controlled Access,us-east-1,Kids First: Genomics of Orofacial Cleft Birth Defects in Latin American Families,cancer,genetic,genomic,Homo sapiens,life sciences,pediatric,STRIDES,structural birth defect,whole genome sequencing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Gabriella Miller Kids First Pediatric Research Program (Kids First),https://registry.opendata.aws/kids-first/,"The NIH Common Fund's Gabriella Miller Kids First Pediatric Research Program’s (“Kids First”) vision is to “alleviate suffering from childhood cancer and structural birth defects by fostering collaborative research to uncover the etiology of these diseases and by supporting data sharing within the pediatric research community.” The program continues to generate and share whole genome sequence data from thousands of children affected by these conditions, ranging from rare pediatric cancers, such as osteosarcoma, to more prevalent diagnoses, such as congenital heart defects. In 2018, Kids First launched the Gabriella Miller Kids First Data Resource Center, charged with building a large-scale data platform supporting clinical and genetic data from these patients and their families in order to accelerate discovery and ultimately clinical impact. Researchers can search, access, aggregate, and analyze these data through the Kids First Data Resource Portal. Additionally, by using cloud-based individual workspaces in CAVATICA, a data analysis and sharing computation platform, researchers can cross-analyze Kids First data with data from other efforts, such as NCI’s TARGET program and consortia-based datasets like the Children’s Brain Tumor Tissue Consortium (CBTTC). Kids First is made available on AWS via the NIH STRIDES Initiative.",arn:aws:s3:::kf-study-us-east-1-prd-sd-r0eprsgs,S3 Bucket Controlled Access,us-east-1,Kids First: Genomics of Orofacial Cleft Birth Defects in Latin American Families,cancer,genetic,genomic,Homo sapiens,life sciences,pediatric,STRIDES,structural birth defect,whole genome sequencing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Gabriella Miller Kids First Pediatric Research Program (Kids First),https://registry.opendata.aws/kids-first/,"The NIH Common Fund's Gabriella Miller Kids First Pediatric Research Program’s (“Kids First”) vision is to “alleviate suffering from childhood cancer and structural birth defects by fostering collaborative research to uncover the etiology of these diseases and by supporting data sharing within the pediatric research community.” The program continues to generate and share whole genome sequence data from thousands of children affected by these conditions, ranging from rare pediatric cancers, such as osteosarcoma, to more prevalent diagnoses, such as congenital heart defects. In 2018, Kids First launched the Gabriella Miller Kids First Data Resource Center, charged with building a large-scale data platform supporting clinical and genetic data from these patients and their families in order to accelerate discovery and ultimately clinical impact. Researchers can search, access, aggregate, and analyze these data through the Kids First Data Resource Portal. Additionally, by using cloud-based individual workspaces in CAVATICA, a data analysis and sharing computation platform, researchers can cross-analyze Kids First data with data from other efforts, such as NCI’s TARGET program and consortia-based datasets like the Children’s Brain Tumor Tissue Consortium (CBTTC). Kids First is made available on AWS via the NIH STRIDES Initiative.",arn:aws:s3:::kf-study-us-east-1-prd-sd-dypmehhf,S3 Bucket Controlled Access,us-east-1,Discovering the Genetic Basis of Human Neuroblastoma: A Gabriella Miller Kids First Pediatric Research Program (Kids First) Project,cancer,genetic,genomic,Homo sapiens,life sciences,pediatric,STRIDES,structural birth defect,whole genome sequencing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Gabriella Miller Kids First Pediatric Research Program (Kids First),https://registry.opendata.aws/kids-first/,"The NIH Common Fund's Gabriella Miller Kids First Pediatric Research Program’s (“Kids First”) vision is to “alleviate suffering from childhood cancer and structural birth defects by fostering collaborative research to uncover the etiology of these diseases and by supporting data sharing within the pediatric research community.” The program continues to generate and share whole genome sequence data from thousands of children affected by these conditions, ranging from rare pediatric cancers, such as osteosarcoma, to more prevalent diagnoses, such as congenital heart defects. In 2018, Kids First launched the Gabriella Miller Kids First Data Resource Center, charged with building a large-scale data platform supporting clinical and genetic data from these patients and their families in order to accelerate discovery and ultimately clinical impact. Researchers can search, access, aggregate, and analyze these data through the Kids First Data Resource Portal. Additionally, by using cloud-based individual workspaces in CAVATICA, a data analysis and sharing computation platform, researchers can cross-analyze Kids First data with data from other efforts, such as NCI’s TARGET program and consortia-based datasets like the Children’s Brain Tumor Tissue Consortium (CBTTC). Kids First is made available on AWS via the NIH STRIDES Initiative.",arn:aws:s3:::kf-study-us-east-1-prd-sd-7nq9151j,S3 Bucket Controlled Access,us-east-1,Gabriella Miller Kids First Pediatric Research Program in Enchondromatoses and Related Malignant Tumors,cancer,genetic,genomic,Homo sapiens,life sciences,pediatric,STRIDES,structural birth defect,whole genome sequencing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Gabriella Miller Kids First Pediatric Research Program (Kids First),https://registry.opendata.aws/kids-first/,"The NIH Common Fund's Gabriella Miller Kids First Pediatric Research Program’s (“Kids First”) vision is to “alleviate suffering from childhood cancer and structural birth defects by fostering collaborative research to uncover the etiology of these diseases and by supporting data sharing within the pediatric research community.” The program continues to generate and share whole genome sequence data from thousands of children affected by these conditions, ranging from rare pediatric cancers, such as osteosarcoma, to more prevalent diagnoses, such as congenital heart defects. In 2018, Kids First launched the Gabriella Miller Kids First Data Resource Center, charged with building a large-scale data platform supporting clinical and genetic data from these patients and their families in order to accelerate discovery and ultimately clinical impact. Researchers can search, access, aggregate, and analyze these data through the Kids First Data Resource Portal. Additionally, by using cloud-based individual workspaces in CAVATICA, a data analysis and sharing computation platform, researchers can cross-analyze Kids First data with data from other efforts, such as NCI’s TARGET program and consortia-based datasets like the Children’s Brain Tumor Tissue Consortium (CBTTC). Kids First is made available on AWS via the NIH STRIDES Initiative.",arn:aws:s3:::kf-study-us-east-1-prd-sd-vttshwv4,S3 Bucket Controlled Access,us-east-1,Kids First Pediatric Research Study in Familial Predisposition to Hematopoietic Malignancies (SJFAMILY-HM),cancer,genetic,genomic,Homo sapiens,life sciences,pediatric,STRIDES,structural birth defect,whole genome sequencing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Gabriella Miller Kids First Pediatric Research Program (Kids First),https://registry.opendata.aws/kids-first/,"The NIH Common Fund's Gabriella Miller Kids First Pediatric Research Program’s (“Kids First”) vision is to “alleviate suffering from childhood cancer and structural birth defects by fostering collaborative research to uncover the etiology of these diseases and by supporting data sharing within the pediatric research community.” The program continues to generate and share whole genome sequence data from thousands of children affected by these conditions, ranging from rare pediatric cancers, such as osteosarcoma, to more prevalent diagnoses, such as congenital heart defects. In 2018, Kids First launched the Gabriella Miller Kids First Data Resource Center, charged with building a large-scale data platform supporting clinical and genetic data from these patients and their families in order to accelerate discovery and ultimately clinical impact. Researchers can search, access, aggregate, and analyze these data through the Kids First Data Resource Portal. Additionally, by using cloud-based individual workspaces in CAVATICA, a data analysis and sharing computation platform, researchers can cross-analyze Kids First data with data from other efforts, such as NCI’s TARGET program and consortia-based datasets like the Children’s Brain Tumor Tissue Consortium (CBTTC). Kids First is made available on AWS via the NIH STRIDES Initiative.",arn:aws:s3:::kf-study-us-east-1-prd-sd-dk0krwk8,S3 Bucket Controlled Access,us-east-1,Gabriella Miller Kids First Pediatric Research Program in Whole Genome Sequencing of African and Asian Orofacial Clefts Case-Parent Triads,cancer,genetic,genomic,Homo sapiens,life sciences,pediatric,STRIDES,structural birth defect,whole genome sequencing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sentinel-2,https://registry.opendata.aws/sentinel-2/,"The Sentinel-2 mission is a land monitoring constellation of two satellites that provide high resolution optical imagery and provide continuity for the current SPOT and Landsat missions. The mission provides a global coverage of the Earth's land surface every 5 days, making the data of great use in on-going studies. L1C data are available from June 2015 globally. L2A data are available from April 2017 over wider Europe region and globally since December 2018.",arn:aws:s3:::sentinel-s2-l1c,S3 Bucket Requester Pays,eu-central-1,"Level 1C scenes and metadata, in Requester Pays S3 bucket",disaster response,earth observation,geospatial,natural resource,satellite imagery,sustainability,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sentinel-2,https://registry.opendata.aws/sentinel-2/,"The Sentinel-2 mission is a land monitoring constellation of two satellites that provide high resolution optical imagery and provide continuity for the current SPOT and Landsat missions. The mission provides a global coverage of the Earth's land surface every 5 days, making the data of great use in on-going studies. L1C data are available from June 2015 globally. L2A data are available from April 2017 over wider Europe region and globally since December 2018.",arn:aws:s3:::sentinel-inventory/sentinel-s2-l1c,S3 Bucket,eu-central-1,S3 Inventory files for L1C (ORC and CSV),disaster response,earth observation,geospatial,natural resource,satellite imagery,sustainability,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sentinel-2,https://registry.opendata.aws/sentinel-2/,"The Sentinel-2 mission is a land monitoring constellation of two satellites that provide high resolution optical imagery and provide continuity for the current SPOT and Landsat missions. The mission provides a global coverage of the Earth's land surface every 5 days, making the data of great use in on-going studies. L1C data are available from June 2015 globally. L2A data are available from April 2017 over wider Europe region and globally since December 2018.",arn:aws:s3:::sentinel-s2-l2a,S3 Bucket Requester Pays,eu-central-1,"Level 2A scenes and metadata, in Requester Pays S3 bucket",disaster response,earth observation,geospatial,natural resource,satellite imagery,sustainability,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sentinel-2,https://registry.opendata.aws/sentinel-2/,"The Sentinel-2 mission is a land monitoring constellation of two satellites that provide high resolution optical imagery and provide continuity for the current SPOT and Landsat missions. The mission provides a global coverage of the Earth's land surface every 5 days, making the data of great use in on-going studies. L1C data are available from June 2015 globally. L2A data are available from April 2017 over wider Europe region and globally since December 2018.",arn:aws:s3:::sentinel-inventory/sentinel-s2-l2a,S3 Bucket,eu-central-1,S3 Inventory files for L2A (ORC and CSV),disaster response,earth observation,geospatial,natural resource,satellite imagery,sustainability,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sentinel-2,https://registry.opendata.aws/sentinel-2/,"The Sentinel-2 mission is a land monitoring constellation of two satellites that provide high resolution optical imagery and provide continuity for the current SPOT and Landsat missions. The mission provides a global coverage of the Earth's land surface every 5 days, making the data of great use in on-going studies. L1C data are available from June 2015 globally. L2A data are available from April 2017 over wider Europe region and globally since December 2018.",arn:aws:s3:::sentinel-s2-l1c-zips,S3 Bucket Requester Pays,eu-central-1,"Zipped archives for each product with 7 day retention period, in Requester Pays bucket",disaster response,earth observation,geospatial,natural resource,satellite imagery,sustainability,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sentinel-2,https://registry.opendata.aws/sentinel-2/,"The Sentinel-2 mission is a land monitoring constellation of two satellites that provide high resolution optical imagery and provide continuity for the current SPOT and Landsat missions. The mission provides a global coverage of the Earth's land surface every 5 days, making the data of great use in on-going studies. L1C data are available from June 2015 globally. L2A data are available from April 2017 over wider Europe region and globally since December 2018.",arn:aws:sns:eu-west-1:214830741341:NewSentinel2Product,SNS Topic,eu-west-1,"New scene notifications for L1C, can subscribe with Lambda or SQS.",disaster response,earth observation,geospatial,natural resource,satellite imagery,sustainability,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sentinel-2,https://registry.opendata.aws/sentinel-2/,"The Sentinel-2 mission is a land monitoring constellation of two satellites that provide high resolution optical imagery and provide continuity for the current SPOT and Landsat missions. The mission provides a global coverage of the Earth's land surface every 5 days, making the data of great use in on-going studies. L1C data are available from June 2015 globally. L2A data are available from April 2017 over wider Europe region and globally since December 2018.",arn:aws:sns:eu-central-1:214830741341:SentinelS2L2A,SNS Topic,eu-central-1,"New scene notifications for L2A, can subscribe with Lambda or SQS.",disaster response,earth observation,geospatial,natural resource,satellite imagery,sustainability,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Landsat 8,https://registry.opendata.aws/landsat-8/,An ongoing collection of satellite imagery of all land on Earth produced by the Landsat 8 satellite.,arn:aws:s3:::landsat-pds,S3 Bucket,us-west-2,Scenes and metadata,disaster response,earth observation,geospatial,natural resource,satellite imagery,sustainability,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
